stock,,
Product Name,Product SKU,Barcode
ارز الشعلان فله 40 كجم,8906001090076,8906001090076
ارز العائلة عنبر 10 كجم,6281100205920,6281100205920
ارز العائلة عنبر 5 كجم,6281100205852,6281100205852
ارز العائلة كيس 5 كجم,6281100200024,6281100200024
ارز العمير 5 كجم,115020002184,115020002184
ارز الفارس  10 كجم,6281102380076,6281102380076
ارز الوسام 10 كجم,6281074340153,6281074340153
ارز الوسام 4 * 10 كجم,6281074340016,6281074340016
ارز الوسام 40 كجم,6281074361714,6281074361714
ارز الوسام 5 كجم,6281074340146,6281074340146
ارز الوسام 8 * 5 كجم,6281074340115,6281074340115
ارز الوسام فله 40 كجم,6281074341211,6281074341211
ارز الوليمة 10 كجم,6281100200437,6281100200437
ارز الوليمة 4 * 10 كجم,6281100200444,6281100200444
ارز الوليمة 5 كجم,6281100200413,6281100200413
ارز الوليمة 8 * 5 كجم,6281100200420,6281100200420
ارز الوليمة استايل 10 كجم,6281100200703,6281100200703
ارز الوليمة فطرة  3 كجم,6281100200475,6281100200475
ارز الوليمة فطرة 10 * 3 كجم,6281100200482,6281100200482
ارز الوليمة فله 40 كجم,6281100204299,6281100204299
ارز الياسمين واق واق 10 كجم,6287004490721,6287004490721
ارز باب الهند 10 كجم,6281074340283,6281074340283
ارز باب الهند 4 * 10 كجم,6281074343710,6281074343710
ارز باب الهند 5 كجم,6281074340276,6281074340276
ارز باب الهند 8 * 5 كجم,6281074343314,6281074343314
ارز باب الهند فله 40 كجم,6281074341310,6281074341310
ارز باوندي 10 كجم,6281100200277,6281100200277
ارز بحر 10 كجم,6287004750788,6287004750788
ارز بدور مصري 1 كجم,6281101400102,6281101400102
ارز بدور مصري 2 كجم,6281101400096,6281101400096
ارز بران 1 كجم,831730004194,831730004194
ارز بران بسمتي 1 كجم,841165110964,841165110964
ارز بران بنغلاديش 1 كجم,831730004149,831730004149
ارز برمل 5 كجم,6281099019591,6281099019591
ارز برمل باكستاني نورة فطرة 3 كجم,6287004490448,6287004490448
ارز برمل باكستاني نورة فطرة  10 * 3 كجم,1400062,1400062
ارز برياني نجمة سوبر 1 كجم,6287008720404,6287008720404
ارز بسمتي بني كلاسيك 1 كجم,6281074363435,6281074363435
ارز بسمتي كرنل مهران 2 كجم,633152002129,633152002129
ارز بنجابي المهيدب 10 كجم,6281100200031,6281100200031
ارز بنجابي المهيدب 8 * 5 كجم,6281100200062,6281100200062
ارز بنجابي المهيدب 5 كجم,6281100200055,6281100200055
ارز بنجابي المهيدب ابيض 2 كجم,6281100200215,6281100200215
ارز بنجابي المهيدب بني 2 كجم,6281100203438,6281100203438
ارز بوندي حبة طويل 5 كجم,6281100200291,6281100200291
ارز بيت الرز 10 كجم,6287004750733,6287004750733
ارز بيت الرز 5 كجم,6287004750757,6287004750757
ارز تاج محل ابيض حبة طويل 10 كجم,6281091002850,6281091002850
ارز تاج محل بسمتي بنجابي 10 كجم,6281102380977,6281102380977
ارز تاج محل بنجابي 10 كجم,6281102380274,6281102380274
ارز تاج محل بنجابي 5 كجم,6281102380298,6281102380298
ارز تلدا بسمتي 1 كجم,8901144311002,8901144311002
ارز تلدا بسمتي 2 كجم,8901144312009,8901144312009
ارز تلدا بسمتي 5 كجم,8901144100507,8901144100507
ارز تلدا بسمتي بني 1000 جم,8901144601004,8901144601004
ارز تلدا قراند 1 كجم,8901144000098,8901144000098
ارز تلدا قراند بسمتي 5 كجم,5011157220604,5011157220604
ارز تيجان 10 كجم,6281100411130,6281100411130
ارز جيا بلاستيك 5 كجم,8906035687877,8906035687877
ارز ديلمو ابيض درجة اولي 5 كجم,5600370472527,5600370472527
ارز زين كرنل 1 كجم,8964000999035,8964000999035
ارز ساجيب فواح 1 كيلو,8941170011835,8941170011835
ارز سيلا بارس  5 كجم,6287004750900,6287004750900
ارز صنوايت 10 * 2 كجم,19310140000494,19310140000494
ارز صنوايت 2 كجم,9310140010533,9310140010533
ارز صنوايت 10 كم,9310140010571,9310140010571
ارز صنوايت 20 * 1 كجم,19310140000333,19310140000333
ارز صنوايت 1 كجم,9310140010151,9310140010151
ارز صنوايت 6 * 5 كجم,1931014000,1931014000
ارز صنوايت 5 كجم,9310140010519,9310140010519
ارز ضياء بسمتي 1 كجم,8906035687860,8906035687860
ارز فبثور العيدان 400 جم,6287004742004,6287004742004
ارز كلاسيك 1 كجم,6281074348135,6281074348135
ارز كلاسيك 4 * 5 كجم,6281074343512,6281074343512
ارز كلاسيك 5 كجم,6281074343536,6281074343536
ارز كلاسيك بني بلاستيك 5 كجم,6281074363336,6281074363336
ارز كلاسيك عنبر 2 * 10 كجم,6281074347510,6281074347510
ارز كلاسيك عنبر 10 كجم,6281074347534,6281074347534
ارز مصرى روتانا 2 كجم,6281020023901,6281020023901
ارز مصري  5 كجم,6281020027800,6281020027800
ارز مصري 5 كجم,6281101400089,6281101400089
ارز ملك الرز 10 كجم,6287003390046,6287003390046
ارز ملك الرز 5 كجم,6287003390060,6287003390060
ارز هندي بسمتي المداح 1 كجم,805278650144,805278650144
ارز هندي بسمتي 5 كيلو,805278650540,805278650540
ارز واق واق 5 كجم,6287004751303,6287004751303
ارز واق واق 5 كيلو,6287004752805,6287004752805
ارز واق واق باندان 10 كجم,6287004751334,6287004751334
ارز واق واق باندان 10 كجم,8857053007034,8857053007034
ارز واق واق باندان 5 كجم,6287004490714,6287004490714
ارز واق واق باندان 5 كجم,6287004751358,6287004751358
الشابورة الطازجة,6281033317226,6281033317226
اندومى ربطة شد10,5285000391005,5285000391005
اندومي بنكهة الكاري كاسات 60 جم,89686122138,89686122138
اندومي بنكهة الكاري كاسات  24 * 60 جم,5285000394501,5285000394501
اندومي خضار 10 حبه * 70 جم,5285000390992,5285000390992
اندومي خضار 10 حبه * 75 جم,5285000391043,5285000391043
اندومي خضار 70 جم,89686120226,89686120226
اندومي خضار 5 * 70 جم,5285000390626,5285000390626
اندومي خضار 40 * 70 جم,5285000390060,5285000390060
اندومي خضار كاسات 60 جم,89686122169,89686122169
اندومي خضار كاسات 24 * 60 جم,5285000394518,5285000394518
اندومي خضار كبير 60 * 75 جم,5285000390312,5285000390312
اندومي خضار وليمون 70 جم,5285000398417,5285000398417
اندومي خضار وليمون 5 * 70 جم,5285000398431,5285000398431
اندومي خضار وليمون 12 * 5 * 70 جم,5285000398530,5285000398530
اندومي دجاج 70 جم,89686120073,89686120073
اندومي دجاج 5 * 70 جم,5285000390640,5285000390640
اندومي دجاج 40 * 70 جم,5285000390015,5285000390015
اندومي دجاج علب 60 جم,89686122015,89686122015
اندومي دجاج علب 24 * 60 جم,5285000391531,5285000391531
اندومي دجاج كبير 60 * 70 جم,5285000390268,5285000390268
اندومي دجاج نكهة خاصة 70 جم,89686120196,89686120196
اندومي دجاج نكهة خاصة 5 * 70 جم,5285000390602,5285000390602
اندومي دجاج نكهة خاصة 40 * 70 جم,5285000390046,5285000390046
اندومي شعيرية مقلية 2 * 80 جم --- عرض,5285000391012,5285000391012
اندومي شعيرية مقلية 10 * 2 * 80 جم --- عرض,2010006107090,2010006107090
اندومي شعيرية مقلية 70 جم,89686120714,89686120714
اندومي شعيرية مقلية 5 * 70 جم,5285000390589,5285000390589
اندومي شعيرية مقلية 40 * 70 جم,5285000390039,5285000390039
اندومي شعيرية مقلية كبير 60 * 80 جم,5285000390282,5285000390282
اندومي كاري دجاج 70 جم,89686120134,89686120134
اندومي كاري دجاج 5 * 70 جم,5285000390596,5285000390596
اندومي كاري دجاج 40 * 70 جم,5285000390022,5285000390022
اندومي كاري دجاج كبير 60 * 70 جم,5285000390275,5285000390275
اندومي لحم بقري كاسات 60 جم,89686122046,89686122046
اندومي لحم بقري كاسات 24 * 60 جم,5285000391548,5285000391548
اندومي ماجي نكهة الدجاج 77 جم,9556001130099,9556001130099
اندومي ماجي نكهة الدجاج 5 * 77 جم,9556001129659,9556001129659
اندومي ماجي نكهة الكاري 79 جم,9556001130136,9556001130136
اندومي ماجي نكهة برياني 77 جم,9556001197528,9556001197528
اندومي نكهة خاصة كبير 60 * 70 جم,5285000390299,5285000390299
اندومي نكهة دجاج خاصه 10 *75 جم,5285000391029,5285000391029
برنجلز 40 جم,5053990107353,5053990107353
برنجلز 12 * 40 جم,5053990107490,5053990107490
برنجلز حراق صغير 12 * 40 جم,5053990107438,5053990107438
برنجلز ميني كيس  20 جم,8886467112140,8886467112140
برنجلز ميني كيس  20 جم,8886467112157,8886467112157
برنجلز ميني كيس  20 جم,8886467112164,8886467112164
برنجلز ميني كيس 36 * 20 جم,18886467112161,18886467112161
بطاطس البطل بالفلفل الحار  كيس --- عرض,6281016011271,6281016011271
بطاطس البطل بالفلفل حار 14 جم,6281016799513,6281016799513
بطاطس البطل بالفلفل حار 23 * 14 جم,6281016310626,6281016310626
بطاطس البطل بالملح 12 جم,6281016407944,6281016407944
بطاطس البطل بالملح 24 * 12 جم,6281016312125,6281016312125
بطاطس البطل بنكهة الجبنة 20 * 23 جم -- عرض,6281016011301,6281016011301
بطاطس البطل بنكهة الجبنة 14 جم,6281016502847,6281016502847
بطاطس البطل بنكهة الجبنة 23 * 14 جم,6281016502854,6281016502854
بطاطس البطل كاتشب 14 جم,6281016797618,6281016797618
بطاطس البطل كاتشب  23 * 14 جم,6281016106823,6281016106823
بطاطس برنجز 40 غ,5053990107292,5053990107292
بطاطس برنجز 40 غ,5053990107322,5053990107322
بطاطس برنجز 40 غ,5053990107339,5053990107339
بطاطس برنجز 40 غ,5053990107384,5053990107384
بطاطس برنجلز بابريكا 165 جم,5053990106868,5053990106868
بطاطس برنجلز باربيكو 40 جم,5053990137817,5053990137817
بطاطس برنجلز باربيكيو 165 جم,5053990101528,5053990101528
بطاطس برنجلز حراق 40 جم,5053990140220,5053990140220
بطاطس برنجلز خل وملح 40 جم,5053990137794,5053990137794
بطاطس برنجلز سادة 40 جم,5053990137787,5053990137787
بطاطس برنجلز سادة 12 * 40 جم,2000044,2000044
بطاطس برنجلز كبير 165 جم,5053990101542,5053990101542
بطاطس برنجلز كبير 165 جم,5053990101566,5053990101566
بطاطس برنجلز كبير 165 جم,5053990101573,5053990101573
بطاطس برنجلز كبير 165 جم,5053990101580,5053990101580
بطاطس برنجلز كبير 165 جم,5053990101597,5053990101597
بطاطس بيوقلز بالجبنة 18 جم,16000505599,16000505599
بطاطس بيوقلز بالجبنة 22 * 18 جم,6291105690539,6291105690539
بطاطس بيوقلز مشويات 18 جم,16000505698,16000505698
بطاطس بيوقلز مشويات 22 * 18 جم,6291105690553,6291105690553
بطاطس تسالي حار,6281036170200,6281036170200
بطاطس تسالي حار 21 حبة,6281036070234,6281036070234
بطاطس تسالي كاتشاب 25 جم -- عرض زيادة 20 %,6281036171115,6281036171115
بطاطس تسالي كاتشاب   14 * 25 جم -- عرض زيادة 20 %,6281036171146,6281036171146
بطاطس تسالي كاتشب,6281036170101,6281036170101
بطاطس تسالي كاتشب 21 حبة,6281036070135,6281036070135
بطاطس دوريتوس اجنحه حاره,6281036567604,6281036567604
بطاطس دوريتوس النكهة الغامضة كبير 185 جم,6281036567406,6281036567406
بطاطس دوريتوس بجبنة الناتشو 48 جم,6281036564108,6281036564108
بطاطس دوريتوس بجبنة الناتشو 20 * 48 جم,6281036008060,6281036008060
بطاطس دوريتوس بجبنه الناشو 30 جم,6281036561107,6281036561107
بطاطس دوريتوس تتبيله المشاوي 30 جم,6281036561305,6281036561305
بطاطس دوريتوس حار حلو 30 جم,6281036561206,6281036561206
بطاطس دوريتوس حار وحلو 180 جم,6281036567208,6281036567208
بطاطس دوريتوس حار وحلو 48 غ,6281036564207,6281036564207
بطاطس دوريتوس حار وحلو 20 * 48 غ,6281036008053,6281036008053
بطاطس دوريتوس نكهة غامضة 30 جم -----جديد,6281036561404,6281036561404
بطاطس دوريتوس نكهة غامضة 18 * 30 جم -----جديد,6281036561428,6281036561428
بطاطس ديمة فرفشه بالملح 160 جم,776992071013,776992071013
بطاطس ديمة فرفشه بالملح 24 * 160 جم,776992015017,776992015017
بطاطس ديمة فرفشه شطة وليمون 160 جم,776992090014,776992090014
بطاطس ديمة فرفشه شطة وليمون  24 * 160 جم,776992074014,776992074014
بطاطس رويال مجمد 2.5 كجم,6281050520166,6281050520166
بطاطس ستيكس بابريكا 45 جم,6271001330456,6271001330456
بطاطس ستيكس بابريكا 6 * 45 جم,6271001350348,6271001350348
بطاطس ستيكس بهارات حارة 45 جم,6271001300503,6271001300503
بطاطس ستيكس بهارات حارة 6 * 45 جم,6271001350034,6271001350034
بطاطس ستيكس جبنة اغريقية 45 جم,6290340270452,6290340270452
بطاطس ستيكس جبنة اغريقية 6 * 45 جم,6290340310103,6290340310103
بطاطس ستيكس فلفل حار 45 جم,6271001370452,6271001370452
بطاطس ستيكس فلفل حار 6 * 45 جم,6271001350300,6271001350300
بطاطس ستيكس قليل الملح 45 جم,6271001310502,6271001310502
بطاطس ستيكس قليل الملح 6 * 45 جم,6271001350010,6271001350010
بطاطس ستيكس كريمة حامضة وبصل 45 جم,6271001380451,6271001380451
بطاطس ستيكس كريمة حامضة وبصل 6 * 45 جم,6271001350324,6271001350324
بطاطس شيتوس حار نار 15 * 25 جم,6281036014047,6281036014047
بطاطس عيدان فايركو علبة 50 جم,87034040219,87034040219
بطاطس فيركو عيدان 50 جم,6287014280015,6287014280015
بطاطس فيركو عيدان 50 جم,6287014280008,6287014280008
بطاطس لورنس بالجبنة 100 جم,4018077742231,4018077742231
بطاطس لورنس حار 100 جم,4018077721779,4018077721779
بطاطس لورنس خفيفة 50 جم,4018077722127,4018077722127
بطاطس لورنس خفيفة 50 جم,4018077724121,4018077724121
بطاطس لورنس خفيفة 50 جم,4018077745874,4018077745874
بطاطس لورنس سناك وجبة خفيفة 100 جم,4017100734106,4017100734106
بطاطس لورنس عيدان 100 جم,4017100726101,4017100726101
بطاطس لورنس عيدان كيس 100 جم,4017100722004,4017100722004
بطاطس لورنس وجبة خفيفة 180 جم,4018077662614,4018077662614
بطاطس ليز 12 غ,6281036110305,6281036110305
بطاطس ليز 21 * 12 غ,6281036001535,6281036001535
بطاطس ليز اسكوبس 44 غ,6281036018014,6281036018014
بطاطس ليز اسكوبس 24 * 44 غ,6281036018045,6281036018045
بطاطس ليز بالجبنة 48 غ,6281036115508,6281036115508
بطاطس ليز بالجبنة 20 * 48 غ,6281036115522,6281036115522
بطاطس ليز بالجبنة الفرنسية 160 غ,6281036108401,6281036108401
بطاطس ليز بالجبنة الفرنسية,6281036110602,6281036110602
بطاطس ليز بالجبنة الفرنسية 21 حبة,6281036001139,6281036001139
بطاطس ليز بالخل والملح 160 غ,6281036108302,6281036108302
بطاطس ليز بالفلفل الحار,6281036110206,6281036110206
بطاطس ليز بالفلفل الحار 21 حبة,6281036001436,6281036001436
بطاطس ليز بالكاتشب 44 غ,6281036115102,6281036115102
بطاطس ليز بالكاتشب 20 * 44 غ,6281036115126,6281036115126
بطاطس ليز بالكاتشب,6281036110107,6281036110107
بطاطس ليز بالكاتشب 21 حبة,6281036001238,6281036001238
بطاطس ليز بالكاتشب جديد 160 غ,6281036108104,6281036108104
بطاطس ليز بالملح 160 غ,6281036108005,6281036108005
بطاطس ليز بالملح 48 غ,6281036115003,6281036115003
بطاطس ليز بالملح 20 * 48 غ,6281036115027,6281036115027
بطاطس ليز بالملح,6281036110008,6281036110008
بطاطس ليز بالملح 20 حبة + 2 مجانا,6281036001337,6281036001337
بطاطس ليز بالملح والخل 23 جم,6281036113306,6281036113306
بطاطس ليز بالملح والخل 15 * 23 جم + 1 مجانا,6281036999986,6281036999986
بطاطس ليز بالملح والخل 48 غ,6281036115300,6281036115300
بطاطس ليز بالملح والخل 20 * 48 غ,6281036115324,6281036115324
بطاطس ليز بصلصة البافلو 160 غ,6281036001498,6281036001498
بطاطس ليز بوبابلز بالجبنة الكريمة بالشبت 150 جم,6281036022073,6281036022073
بطاطس ليز جبنة 25 جم,6281036113504,6281036113504
بطاطس ليز جبنة  14 * 25 جم -- عرض زيادة 20 %,6281036999955,6281036999955
بطاطس ليز حار 23 جم,6281036113207,6281036113207
بطاطس ليز حار 14 * 23 جم,6281036999979,6281036999979
بطاطس ليز سكوبس أعشاب  165غ,6281036001061,6281036001061
بطاطس ليز سكوبس أعشاب 44 غ,6281036018021,6281036018021
بطاطس ليز سكوبس أعشاب 24 * 44 غ,6281036018038,6281036018038
بطاطس ليز سكوبس بالجبنة الحارة 165 غ,6281036001078,6281036001078
بطاطس ليز شطة وليمون 160 جم,6281036001481,6281036001481
بطاطس ليز شطة وليمون 50 جم,6281036001504,6281036001504
بطاطس ليز شطة وليمون 20 * 50 جم,6281036001696,6281036001696
بطاطس ليز صلصة البافلو الحارة 45 غ,6281036001511,6281036001511
بطاطس ليز صلصة البافلو الحارة 20 * 45 غ,6281036001542,6281036001542
بطاطس ليز فلفل حار 48 غ,6281036115201,6281036115201
بطاطس ليز فلفل حار 20 * 48 غ,6281036115225,6281036115225
بطاطس ليز فلفل ليمون 160 جم,6281036001597,6281036001597
بطاطس ليز فورنو الجبنة 170غ,6281036197207,6281036197207
بطاطس ليز فورنو بالجبنة 40 غ,6281036194206,6281036194206
بطاطس ليز فورنو بالجبنة 18 * 40 غ,6281036194220,6281036194220
بطاطس ليز فورنو باللبنة 40 غ,6281036194602,6281036194602
بطاطس ليز فورنو باللبنة 18 * 40 غ,6281036194626,6281036194626
بطاطس ليز فورنو باللبنة والنعناع 40 غ,6281036194404,6281036194404
بطاطس ليز فورنو باللبنة والنعناع 18 * 40 غ,6281036194428,6281036194428
بطاطس ليز فورنو بالنكهة الإيطالية 40 غ,6281036194503,6281036194503
